"lat","lng","program","agency","address","phone"
"43.6958","-79.4459","St Thomas Aquinas School","Macaulay Child Development Centre","636 Glenholme Ave","416-783-7298"
"43.6473","-79.4336","St. Helen Children's Place","College-Montrose Children's Place","66 Sheridan Ave","416-532-9485"
"43.6554","-79.3619","St. Pauls Family Resource Program","EYET Early Learning Centre - Annie's Place","80 Sackville St","416-686-3390 x 9792"
"43.7065","-79.4458","Sts Cosmas and Damian School","Macaulay Child Development Centre","111 Danesbury Ave","416-783-7298"
"43.6692","-79.4913","Syme-Woolner Family Resource","Syme-Woolner Neighbourhood and Family Centre","69 Pritchard Ave","416-767-2186"
"43.7026","-79.3518","TNO Early Years Centre","Yes I Can Nursery School of Toronto","1 Leaside Park Dr","416-421-8997"
"43.6876","-79.3097","Terry Fox Family Resource Program","East End Child/Parent Development Centre of Metro Toronto","2 Gledhill Ave","416-469-0495"
"43.6665","-79.3811","The 519 Church St. Community Centre Family Resource Program","The 519 Church St. Community Centre","519 Church St","416-355-6796"
"43.6626","-79.4232","The Children's Storefront","The Toronto Child-Parent Development Centre","826 Bloor St W","416-531-8151"
"43.6533","-79.3988","The Cross Cultural Community Services Association (TCCSA) Satellite","College-Montrose Children's Place","302 Spadina Ave","416-977-4026"
"43.6658","-79.4868","The Four Villages Community Health Centre","Earlscourt-Creche Child Development Institute","3446 Dundas St W","416-762-3700"
"43.6866","-79.3568","The Massey Centre for Women - EarlyON Main Site","Massey Centre for Women","1102 Broadview Ave","416-425-3636"
"43.6708","-79.4541","The Stop Community Food Centre Satellite","Davenport-Perth Neighbourhood & Community Health Centre","1884 Davenport Rd","416-588-3755"
"43.8243","-79.2262","Thomas L. Wells Public School","Malvern Family Resource Centre","69 Nightstar Rd","416-281-1376"
"43.7055","-79.3465","Thorncliffe Neighbourhood office","TNO - The Neighbourhood Organization","45 Overlea Blvd","416-421-8997"
"43.7604","-79.5091","Tobermory Drop-In","Jane/Finch Community and Family Centre","15 Tobermory Dr","416-663-2733 x 264"
"43.7265","-79.3029","Victoria Village Hub","Family Day Care Services","1527 Victoria Park Ave","416-438-1800"
"43.6971","-79.5262","Village of Humber Heights","George Hull Centre for Children and Families","2245 Lawrence Ave W","416-626-0215"
"43.7039","-79.2783","Warden Woods Community Centre","West Scarborough Neighbourhood Community Centre","74 Firvalley Crt","416-694-1138 x 157"
"43.6353","-79.398","Waterfront Neighbourhood Centre Satellite","College-Montrose Children's Place","627 Queens Quay W","416-392-1509"
"43.6353","-79.5615","West Mall","George Hull Centre for Children and Families","295 The West Mall","416-626-0215"
"43.6497","-79.4214","West Neighbourhood House","West Neighbourhood House O/A St. Christopher House","248 Ossington Ave","416-532-4828"
"43.6397","-79.4404","West Neighbourhood House","West Neighbourhood House O/A St. Christopher House","1495 Queen St W","416-532-4828"
"43.718","-79.5243","Weston Family Resource Centre","Northwood Neighbourhood Services","1860 Wilson Ave","416-748-0788"
"43.7018","-79.5208","Weston Library","Macaulay Child Development Centre","2 King St","416-783-7298"
"43.7663","-79.4079","Willowdale Park (Summer Satellite)","Adventure Place","75 Hollywood Ave","416-494-1579 x 301"
"43.7203","-79.6003","Woodbine Shopping Centre Satellite","Braeburn Neighbourhood Place Incorporated","500 Rexdale Blvd","416-745-3113"
"43.8092","-79.2695","Woodside Library","Malvern Family Resource Centre","1571 Sandhurst Cir","416-281-1376"
"43.7394","-79.5385","Woodview Library","Northwood Neighbourhood Services","16 Bradstock Rd","416-726-3704"
"43.7433","-79.4045","Yes I Can Family Resource Centre","Yes I Can Nursery School of Toronto","25 Old York Mills Rd","416-486-4911"
"43.6905","-79.3944","Yorkminster Park Baptist Church Satellite","Canadian Mothercraft Society","1585 Yonge St","416-920-3515 x 100"
"43.6769","-79.4426","Yorktown Child and Family Centre - Dufferin St Clair Library Satellite","Davenport-Perth Neighbourhood & Community Health Centre","1625 Dufferin St","416-588-3755"
"43.6673","-79.4395","Yorktown Child and Family Centre Wallace Emerson Satellite","Davenport-Perth Neighbourhood & Community Health Centre","1260 Dufferin St","416-588-3755"
"43.7263","-79.2318","Young Women's Christian Association of Greater Toronto","Young Women's Christian Association of Greater Toronto","3090 Kingston Rd","416-266-1232 x 23"
